PBC JPEG Robustness: k=1,2,3
==================================================
Image: 978x678 px

 k     Q   PSNR_enc   GREEN/total
--------------------------------
 1   100       51.2      0/40
 1    97       51.2      0/40
 1    95       51.2      0/40
 1    90       51.2      0/40
 1    85       51.2      0/40
 1    80       51.2      0/40

 2   100       43.8      0/40
 2    97       43.8      0/40
 2    95       43.8      0/40
 2    90       43.8      0/40
 2    85       43.8      0/40
 2    80       43.8      0/40

 3   100       37.4      0/40
 3    97       37.4      0/40
 3    95       37.4      0/40
 3    90       37.4      0/40
 3    85       37.4      0/40
 3    80       37.4      0/40

